ID,BusinessName,AddressLine2,AddressLine3,PostCode,Longitude,Latitude
480294,Cafe Wander,1032 Argyle Street,Glasgow,G3 8LX,-4.282007,55.864229
35571,Cafe Wander,110 West George Street,Glasgow,G2 1PS,-4.256015,55.862488
36151,Cafe Zecchino,331 Cumbernauld Road,Glasgow,G31 3LP,-4.206015,55.862874
581124,Cafe Zeus,98 Bath Street,Glasgow,G2 2EN,-4.258163,55.864264
84951,Cafecart,1036 Cathcart Road,Glasgow,G42 9XW,-4.258258,55.826524
26948,Cafezique,66 Hyndland Street,Glasgow,G11 5PT,-4.301732,55.87293
48556,Caffe Coupa,115 Clarkston Road,Glasgow,G44 3BL,-4.263342,55.815906
26977,Caffe Italiano,220 Buchanan Street,Glasgow,,-4.252946,55.863781
10872,Caffe Nero,93 Hope Street,Glasgow,G2 6LD,-4.259463,55.860493
15107,Caffe Nero,1 Dundas Street,Glasgow,G1 2AH,-4.252667,55.862082
34801,Caffe Nero,8 Sauchiehall Street,Glasgow,G2 3GF,-4.25261,55.864681
31009,Caffe Nero,75 St Enoch Square,Glasgow,G1 4BW,-4.254458,55.857412
444484,Caffe Nero,70 Crow Road,Glasgow,G11 7RY,-4.312117,55.872286
132427,Caffe Nero,106 Union Street,Glasgow,G1 3QW,-4.256555,55.859962
14598,Caffe Nero (3rd Floor Frasers),21 Buchanan Street,Glasgow,,-4.25468906,55.85893407
585878,Caffe Ritazza,100 Provan Walk,Glasgow,G34 9DL,-4.136909,55.872982
27040,Cail Bruich,725 Great Western Road,Glasgow,G12 8QX,-4.289157,55.87738
460439,Cailin's Sushi,1136 Argyle Street,Glasgow,G3 8TD,-4.284857,55.865138
48710,Cakejoy,15 Lumsden Street,Glasgow,G3 8RQ,-4.292175,55.866727
35827,Cakes By Alison,2009 Paisley Road West,Glasgow,G52 3TA,-4.350899,55.845594
26229,Caledonia House,140 Fifty Pitches Road,Glasgow,G51 4ED,-4.322815,55.862549
571737,Calfe Olive Tree,140 Sauchiehall Street,Glasgow,G2 3DH,-4.258023,55.865157
118487,Calton Fire Station,40 McFarlane Street,Glasgow,G4 0TL,-4.236351,55.85626
108469,Cameronian Club,9 Holyrood Crescent,Glasgow,G20 6HJ,-4.275475,55.874146
114725,Camphill Bowling Club,5 Langside Avenue,Glasgow,G41 2QR,-4.277506,55.831022
188119,Canton Chinese Restaurant/Banana Leaf,65 Cambridge Street,Glasgow,G3 6QX,-4.260107,55.866359
